timestamp,type,likesCount,commentsCount,engagement,caption_length,language,day_of_week,hour
2025-07-30 07:00:30+00:00,Image,14,0,14,707,uzbek_latin/english,Wednesday,7
2025-07-24 07:00:46+00:00,Image,55,0,55,1114,uzbek_latin/english,Thursday,7
2025-07-28 07:00:09+00:00,Image,20,0,20,2184,uzbek_latin/english,Monday,7
2025-07-25 07:00:26+00:00,Image,15,2,17,1867,uzbek_latin/english,Friday,7
2025-07-23 07:00:10+00:00,Image,1412,3,1415,973,uzbek_latin/english,Wednesday,7
2025-07-29 07:00:32+00:00,Image,22,0,22,1873,uzbek_latin/english,Tuesday,7
2025-07-31 11:12:02+00:00,Sidecar,14,6,20,1584,uzbek_latin/english,Thursday,11
2025-07-22 07:00:40+00:00,Image,783,2,785,1944,uzbek_latin/english,Tuesday,7
2025-07-28 06:37:00+00:00,Sidecar,286,2289,2575,2066,uzbek_latin/english,Monday,6
2025-07-18 09:53:55+00:00,Image,16,13,29,1386,uzbek_latin/english,Friday,9
2025-07-09 07:00:59+00:00,Image,1782,1,1783,1406,uzbek_latin/english,Wednesday,7
2025-07-18 07:00:03+00:00,Image,164,0,164,1354,uzbek_latin/english,Friday,7
2025-07-07 11:54:12+00:00,Image,284,8,292,2150,uzbek_latin/english,Monday,11
2025-07-10 07:00:37+00:00,Sidecar,21,0,21,496,uzbek_latin/english,Thursday,7
2025-07-08 07:00:39+00:00,Sidecar,8,0,8,380,uzbek_latin/english,Tuesday,7
2025-07-16 07:00:01+00:00,Sidecar,7,0,7,611,uzbek_latin/english,Wednesday,7
2025-07-07 07:00:36+00:00,Video,204,0,204,2169,uzbek_latin/english,Monday,7
2025-07-11 07:00:42+00:00,Image,1552,0,1552,1780,uzbek_latin/english,Friday,7
2025-07-21 07:00:14+00:00,Video,35,0,35,1599,uzbek_latin/english,Monday,7
2024-07-30 07:44:38+00:00,Video,179,52,231,1077,uzbek_latin/english,Tuesday,7
2025-07-02 07:00:34+00:00,Sidecar,233,14,247,445,uzbek_latin/english,Wednesday,7
2025-06-24 07:00:32+00:00,Image,493,1,494,2200,uzbek_latin/english,Tuesday,7
2025-07-03 07:00:37+00:00,Image,301,2,303,1621,uzbek_latin/english,Thursday,7
2025-06-27 07:00:07+00:00,Image,24,3,27,2200,uzbek_latin/english,Friday,7
2025-06-25 07:00:40+00:00,Image,20,0,20,1829,uzbek_latin/english,Wednesday,7
2025-06-27 12:53:16+00:00,Sidecar,31,23,54,1562,uzbek_latin/english,Friday,12
2025-08-01 07:00:27+00:00,Sidecar,7,0,7,628,uzbek_latin/english,Friday,7
2025-07-15 07:00:53+00:00,Image,521,0,521,2043,uzbek_latin/english,Tuesday,7
2025-07-01 07:00:30+00:00,Sidecar,51,2,53,2195,uzbek_latin/english,Tuesday,7
2025-06-19 07:00:23+00:00,Image,251,1,252,1106,uzbek_latin/english,Thursday,7
2025-06-06 07:00:55+00:00,Image,443,0,443,1187,uzbek_latin/english,Friday,7
2025-06-12 07:00:48+00:00,Image,314,0,314,1689,uzbek_latin/english,Thursday,7
2025-06-09 07:00:59+00:00,Video,30,2,32,1298,uzbek_latin/english,Monday,7
2025-06-17 07:00:13+00:00,Image,1205,8,1213,1695,uzbek_latin/english,Tuesday,7
2025-06-16 07:00:15+00:00,Video,20,3,23,1160,uzbek_latin/english,Monday,7
2025-06-18 07:00:15+00:00,Image,916,1,917,1331,uzbek_latin/english,Wednesday,7
2025-06-13 06:28:07+00:00,Image,11,0,11,942,uzbek_latin/english,Friday,6
2025-06-20 07:00:18+00:00,Image,1277,2,1279,1282,uzbek_latin/english,Friday,7
2025-06-10 07:00:38+00:00,Image,323,4,327,1599,uzbek_latin/english,Tuesday,7
2025-06-11 07:00:52+00:00,Image,4798,4,4802,1484,uzbek_latin/english,Wednesday,7
2025-06-26 07:00:58+00:00,Image,15,0,15,1564,uzbek_latin/english,Thursday,7
2025-06-13 07:00:12+00:00,Image,2263,4,2267,1388,uzbek_latin/english,Friday,7
2025-06-30 07:00:44+00:00,Image,24,0,24,1628,uzbek_latin/english,Monday,7
2025-06-30 08:14:52+00:00,Image,23,1,24,1473,uzbek_latin/english,Monday,8
2025-06-23 06:33:50+00:00,Sidecar,161,910,1071,2097,uzbek_latin/english,Monday,6
2025-06-05 07:00:14+00:00,Sidecar,32,0,32,692,uzbek_latin/english,Thursday,7
2025-06-04 07:00:48+00:00,Sidecar,48,1,49,619,uzbek_latin/english,Wednesday,7
2025-07-28 12:11:57+00:00,Image,21,2,23,1450,uzbek_latin/english,Monday,12
2025-07-17 07:00:01+00:00,Image,1026,2,1028,1918,uzbek_latin/english,Thursday,7
2025-06-23 07:00:24+00:00,Sidecar,29,0,29,1978,uzbek_latin/english,Monday,7
